id,title,artist,room
114549,Kelohonka,Designer: Tanja Orsjoki; Manufacturer: Vallila Interior,G378
30758,Vor dem Start nach New-York,Photographer: Paul Wolff,Not on View
125771,Untitled,Artist: Hisachika Takahashi,Not on View
3321,The Death Song of Lone Wolf,Artist: Charles M. Russell,G301
10451,The Sleeping Congregation,Artist: William Hogarth,G307
136,Saint Catherine,,G340
10219,Portrait of Paris von Gütersloh,Artist: Egon Schiele,G377
492,Tankard,Silversmith: Peter van Dyck,Not on View
17169,Tankard,Silversmith: John Coney,Not on View
106831,Off the Coast (Lake Superior),Artist: Alexis Jean Fournier,G302
109118,Masterpiece cup and cover,Maker: Johann Friedrich Baer,G350
120860,The Triumph of Marcus Aurelius,Artist: Nicolas Béatrizet,Not on View
80860,Battledore,Artist: Albert Joseph Moore,G357
1263,Theseus Slaying the Centaur Bianor,Artist: Antoine-Louis Barye; Caster: F. (Ferdinand) Barbedienne,G303
20962,Miniature Mask,,Not on View
1372,Landscape with Peasants,Artist: Jan Brueghel the Elder,G341
1375,Portrait Bust of Pope Clement X,Sculptor: Circle of Gianlorenzo Bernini,G310
2245,Saint John the Baptist,Artist: François Boucher,G308
1670,The Promenades of Euclid,Artist: René Magritte,G376
2241,"Through Birds, Through Fire but Not Through Glass",Artist: Yves Tanguy,G376
1463,"Pope Benedict XIV Presenting the Encyclical ""Ex Omnibus"" to the Comte de Stainville, Later Duc de Choiseul",Artist: Pompeo Girolamo Batoni,G307
521,The End of the Hunt,"Designer: Unknown designers and cartoonists, Flanders",Not on View
1978,Convulsionists of Tangier,Artist: Eugène Delacroix,G321
5995,Dining chair,Designer: George Grant Elmslie,G300
115966,Cross with a Red Heart,Artist: Georgia O'Keeffe,Not on View
121740,Winter Window,Artist: Charles Sheeler,Not on View
100463,Ehrenbezeugung (Salute and Honor),Artist: George Grosz,Not on View
60752,Cat Mask,,Not on View
1402,Allegory of War,Artist: Giovanni Antonio Pellegrini,Not on View
6228,The Lost Pleiad,Artist: Randolph Rogers,G332
1555,Head of a Woman,Artist: Joan Miró,G376
27402,Before Mountaineering,Artist: Azechi Umetarō,Not on View
2490,Tornado over St. Paul,Artist: Julius Holm,G303
12776,Diego,"Artist: Alberto Giacometti; Caster: Susse Fondeur, Paris",Not on View
